NO,TAHUN,KECAMATAN,LUAS_TANAM_BARU,PANEN_HABIS,PRODUKSI,CURAH_HUJAN,LABEL
1,2015,CIWiDEY,11,9,1357,Sedang,TIDAK MENINGKAT
2,2015,RANCABALI,48,40,7401,Sedang,MENINGKAT
3,2015,PASIRJAMBU,23,27,3845,Sedang,TIDAK MENINGKAT
4,2015,CIMAUNG,43,111,29039,Rendah,MENINGKAT
5,2015,PANGALENGAN,63,74,19430,Rendah,MENINGKAT
6,2015,KERTASARI,4,1,262,Rendah,TIDAK MENINGKAT
7,2015,PACET,12,8,1630,Tinggi,TIDAK MENINGKAT
8,2015,IBUN,10,7,2768,Tinggi,TIDAK MENINGKAT
9,2015,PASEH,15,11,4277,Sedang,TIDAK MENINGKAT
10,2015,CIKANCUNG,13,9,1324,Tinggi,TIDAK MENINGKAT
11,2015,CICALENGKA,3,3,762,Sedang,TIDAK MENINGKAT
12,2015,NAGREG,78,79,24158,Rendah,MENINGKAT
13,2015,RANCAEKEK,-,-,-,Rendah,-
14,2015,MAJALAYA,-,-,-,Rendah,-
15,2015,SOLOKAN JERUK,-,-,-,Tinggi,-
16,2015,CIPARAY,8,8,1168,Sedang,TIDAK MENINGKAT
17,2015,BALEENDAH,14,13,5649,Rendah,MENINGKAT
18,2015,ARJASARI,13,28,13424,Sedang,MENINGKAT
19,2015,BANJARAN,8,8,3167,Tinggi,TIDAK MENINGKAT
20,2015,CANGKUANG,6,3,835,Tinggi,TIDAK MENINGKAT
21,2015,PAMEUNGPEUK,-,-,-,Sedang,-
22,2015,KATAPANG,-,-,-,Tinggi,-
23,2015,SOREANG,-,-,-,Sedang,-
24,2015,KUTAWARINGIN,3,1,416,Sedang,TIDAK MENINGKAT
25,2015,MARGAASIH,-,-,-,Tinggi,-
26,2015,MARGAHAYU,-,-,-,Rendah,-
27,2015,DAYEUHKOLOT,-,-,-,Sedang,-
28,2015,BOJONGSOANG,5,11,769,Sedang,TIDAK MENINGKAT
29,2015,CILEUNYI,1,2,141,Rendah,TIDAK MENINGKAT
30,2015,CILENGKRANG,5,2,6249,Rendah,MENINGKAT
31,2015,CIMENYAN,9,13,5821,Sedang,MENINGKAT
32,2016,CIWiDEY,55,87,29642,Sedang,MENINGKAT
33,2016,RANCABALI,20,40,5480,Tinggi,TIDAK MENINGKAT
34,2016,PASIRJAMBU,10,18,2986,Rendah,TIDAK MENINGKAT
35,2016,CIMAUNG,55,134,30804,Rendah,MENINGKAT
36,2016,PANGALENGAN,51,67,21058,Rendah,MENINGKAT
37,2016,KERTASARI,15,8,507,Sedang,TIDAK MENINGKAT
38,2016,PACET,20,9,2050,Rendah,MENINGKAT
39,2016,IBUN,50,29,3627,Sedang,MENINGKAT
40,2016,PASEH,15,11,4277,Sedang,TIDAK MENINGKAT
41,2016,CIKANCUNG,13,9,1324,Tinggi,TIDAK MENINGKAT
42,2016,CICALENGKA,3,3,762,Sedang,TIDAK MENINGKAT
43,2016,NAGREG,48,68,23452,Sedang,MENINGKAT
44,2016,RANCAEKEK,-,-,-,Rendah,-
45,2016,MAJALAYA,-,-,-,Rendah,-
46,2016,SOLOKAN JERUK,-,-,-,Tinggi,-
47,2016,CIPARAY,51,14,2483,Rendah,MENINGKAT
48,2016,BALEENDAH,9,16,4528,Rendah,TIDAK MENINGKAT
49,2016,ARJASARI,10,28,15071,Rendah,MENINGKAT
50,2016,BANJARAN,16,14,3354,Rendah,TIDAK MENINGKAT
51,2016,CANGKUANG,20,4,902,Tinggi,TIDAK MENINGKAT
52,2016,PAMEUNGPEUK,-,-,-,Sedang,-
53,2016,KATAPANG,-,-,-,Tinggi,-
54,2016,SOREANG,-,-,-,Sedang,-
55,2016,KUTAWARINGIN,10,2,514,Sedang,TIDAK MENINGKAT
56,2016,MARGAASIH,-,-,-,Tinggi,-
57,2016,MARGAHAYU,-,-,-,Rendah,-
58,2016,DAYEUHKOLOT,-,-,-,Sedang,-
59,2016,BOJONGSOANG,8,12,645,Tinggi,TIDAK MENINGKAT
60,2016,CILEUNYI,3,2,102,Sedang,TIDAK MENINGKAT
61,2016,CILENGKRANG,12,7,6358,Rendah,MENINGKAT
62,2016,CIMENYAN,7,8,5010,Tinggi,TIDAK MENINGKAT